,,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,,,
GO:0048732,GO:0048732,GO:0048732,gland development,41/891,422/17913,3.39E-05,0.001306742,0.001078386,CYP19A1/BMP2/NR0B1/PRL/BMP7/HMOX1/HAND2/MAFB/BMP4/NTN1/BCL2L11/MDK/SFRP1/LAMA1/CEBPB/UCP2/FGFR2/NFIB/EZH2/LBH/GATA6/GLI2/FSTL3/SULF1/TYMS/SEMA3C/ID4/E2F7/BRCA2/EGF/GLI1/WNT2/NRG1/ASNS/CCNB2/E2F8/AURKA/IQGAP3/TGM2/OXTR/WNT4,41,0,,
GO:1904427,GO:1904427,GO:1904427,positive regulation of calcium ion transmembrane transport,13/891,70/17913,3.55E-05,0.001358006,0.001120692,HAP1/CEMIP/BDKRB1/CACNB2/PLCG2/CAPN3/ANK2/JPH2/F2R/DRD1/ATP1B1/NTSR1/FGF14,13,0,,
GO:0031099,GO:0031099,GO:0031099,regeneration,24/891,194/17913,3.62E-05,0.00137163,0.001131935,RTN4RL2/PGF/MIR221/MATN2/HMOX1/CAPN3/NR4A3/MDK/PTPRU/CEBPB/UCP2/DHFR/EZH2/NNMT/KLF5/TYMS/SPP1/GLI1/CDK1/CCNA2/POSTN/CCNB1/AURKA/MYOZ1,24,0,,
GO:0048661,GO:0048661,GO:0048661,positive regulation of smooth muscle cell proliferation,16/891,101/17913,3.69E-05,0.001389112,0.001146362,HTR1B/PTGS2/MIR221/AGT/HMOX1/PPARGC1A/S1PR1/ADAMTS1/BMP4/NR4A3/AKR1B1/SMPD3/FGFR2/TGM2/MMP9/HBEGF,16,0,,
GO:0051209,GO:0051209,GO:0051209,release of sequestered calcium ion into cytosol,17/891,112/17913,3.75E-05,0.001391802,0.001148582,HAP1/MCOLN2/CEMIP/BDKRB1/MCOLN3/PLCG2/TMEM38A/CAPN3/TMEM38B/ANK2/JPH2/F2R/HTR2A/DRD1/SLC8A1/NTSR1/JPH3,17,0,,
GO:0051283,GO:0051283,GO:0051283,negative regulation of sequestering of calcium ion,17/891,112/17913,3.75E-05,0.001391802,0.001148582,HAP1/MCOLN2/CEMIP/BDKRB1/MCOLN3/PLCG2/TMEM38A/CAPN3/TMEM38B/ANK2/JPH2/F2R/HTR2A/DRD1/SLC8A1/NTSR1/JPH3,17,0,,
GO:0060350,GO:0060350,GO:0060350,endochondral bone morphogenesis,11/891,52/17913,4.01E-05,0.001467522,0.00121107,MMP13/STC1/BMP4/BMP6/SMPD3/BMPR1B/COL1A1/POC1A/TEK/SCX/COMP,11,0,,
GO:0090307,GO:0090307,GO:0090307,mitotic spindle assembly,11/891,52/17913,4.01E-05,0.001467522,0.00121107,HSPA1A/RACGAP1/KIF23/AURKB/MYBL2/PLK1/KIF11/TPX2/CDC20/KIFC1/KIF4A,11,0,,
GO:0048660,GO:0048660,GO:0048660,regulation of smooth muscle cell proliferation,22/891,172/17913,4.54E-05,0.001639161,0.001352715,HTR1B/PTGS2/MIR221/AGT/HMOX1/PPARGC1A/S1PR1/ADAMTS1/BMP4/NR4A3/AKR1B1/SMPD3/FGFR2/PDE1A/TPM1/CNN1/IGFBP3/TGM2/MMP9/MIR503/HBEGF/ELN,22,0,,
GO:1901991,GO:1901991,GO:1901991,negative regulation of mitotic cell cycle phase transition,27/891,235/17913,4.55E-05,0.001639161,0.001352715,GPNMB/JADE1/EZH2/TICRR/FBXO5/E2F1/CDT1/BLM/BRCA1/E2F7/MAD2L1/AURKB/CDK1/PLK1/TRIP13/SPDL1/E2F8/CENPF/CCNB1/CLSPN/CDC20/CDC25C/AURKA/TTK/GTSE1/DACT1/NDC80,27,0,,
GO:0040001,GO:0040001,GO:0040001,establishment of mitotic spindle localization,8/891,28/17913,4.63E-05,0.001648192,0.001360168,ESPL1/MAD2L1/PLK1/NUSAP1/SPDL1/CENPA/NDC80/SAPCD2,8,0,,
GO:0030900,GO:0030900,GO:0030900,forebrain development,37/891,371/17913,4.67E-05,0.001648192,0.001360168,HAP1/RTN4RL2/BMP2/NR0B1/PPARGC1A/BMP4/NR4A2/NR4A3/MDK/MFSD2A/PLCB1/RRM1/FGFR2/NFIB/EZH2/KIRREL3/CDH2/GLI2/E2F1/AQP1/DRD1/SLC8A1/SYNE2/ID4/STIL/GLI1/INHBA/ARHGAP11B/POU3F3/NRG1/WDR62/SEMA7A/OXTR/KIF14/ASPM/DRAXIN/WNT4,37,0,,
GO:0060393,GO:0060393,GO:0060393,regulation of pathway-restricted SMAD protein phosphorylation,10/891,44/17913,4.67E-05,0.001648192,0.001360168,BMP2/BMP7/BMP4/BMP6/INHBA/PMEPA1/GDF6/GDF10/LDLRAD4/TTK,10,0,,
GO:0051282,GO:0051282,GO:0051282,regulation of sequestering of calcium ion,17/891,114/17913,4.73E-05,0.001657334,0.001367712,HAP1/MCOLN2/CEMIP/BDKRB1/MCOLN3/PLCG2/TMEM38A/CAPN3/TMEM38B/ANK2/JPH2/F2R/HTR2A/DRD1/SLC8A1/NTSR1/JPH3,17,0,,
GO:0034502,GO:0034502,GO:0034502,protein localization to chromosome,14/891,82/17913,4.79E-05,0.001658097,0.001368341,EZH2/CDT1/MTBP/BRCA2/CDCA5/AURKB/CDK1/PLK1/SPDL1/ESCO2/CENPA/TTK/NDC80/BUB1B,14,0,,
GO:0051493,GO:0051493,GO:0051493,regulation of cytoskeleton organization,44/891,472/17913,4.80E-05,0.001658097,0.001368341,CCL26/TACSTD2/SCIN/S1PR1/CDC42EP2/SPIRE2/ARHGAP6/MDK/SFRP1/HSPA1A/NES/BAIAP2L1/ECT2/BORA/CEP85/CENPJ/PSRC1/CELSR1/CCNF/BRCA1/POC1A/MET/CKAP2/STIL/LIMCH1/TPM1/TEK/PLK4/NAV3/NOX4/TACC3/SPAG5/PLK1/KIF11/TPX2/SKA1/AURKA/NEK2/KIF18A/CAPN6/SKA3/F2RL1/WNT4/ELN,44,0,,
GO:0010389,GO:0010389,GO:0010389,regulation of G2/M transition of mitotic cell cycle,23/891,185/17913,4.83E-05,0.001658097,0.001368341,CEP152/TICRR/PKIA/CENPJ/CDC7/FBXO5/CEP72/DBF4B/BLM/BRCA1/DTL/PLK4/AURKB/CDK1/PLK1/CENPF/CCNB1/TPX2/CLSPN/AURKA/NEK2/KIF14/HMMR,23,0,,
GO:0003007,GO:0003007,GO:0003007,heart morphogenesis,28/891,249/17913,4.87E-05,0.001662577,0.001372038,DLL4/BMP2/MIR17HG/BMP7/S1PR1/HAND2/ADAMTS1/BMP4/TMEM100/DLL1/TREX1/FGFR2/PIM1/GATA6/MICAL2/SEMA3C/DSP/STIL/TPM1/COL5A1/ACTC1/WNT2/TEK/NRG1/DNAH11/ANKRD1/COL11A1/ELN,28,0,,
GO:0048659,GO:0048659,GO:0048659,smooth muscle cell proliferation,22/891,174/17913,5.41E-05,0.001834884,0.001514235,HTR1B/PTGS2/MIR221/AGT/HMOX1/PPARGC1A/S1PR1/ADAMTS1/BMP4/NR4A3/AKR1B1/SMPD3/FGFR2/PDE1A/TPM1/CNN1/IGFBP3/TGM2/MMP9/MIR503/HBEGF/ELN,22,0,,
GO:0051231,GO:0051231,GO:0051231,spindle elongation,5/891,10/17913,6.15E-05,0.002057692,0.001698107,RACGAP1/KIF23/AURKB/KIF4A/PRC1,5,0,,
GO:0070314,GO:0070314,GO:0070314,G1 to G0 transition,5/891,10/17913,6.15E-05,0.002057692,0.001698107,RAB11FIP4/CAPN3/SMPD3/EZH2/PHGDH,5,0,,
GO:0014706,GO:0014706,GO:0014706,striated muscle tissue development,37/891,376/17913,6.20E-05,0.00205831,0.001698617,KLHL41/DLL4/BMP2/AGT/MIR17HG/BMP7/S1PR1/BMP4/DLL1/DCN/FGFR2/PIM1/GATA6/HIVEP3/JPH2/KLF5/SEMA3C/TENM4/SLC8A1/DSP/GLI1/TPM1/ACTC1/WNT2/NOX4/NRG1/CDK1/SCX/DSG2/EYA2/CENPF/CCNB1/SORBS2/MYOZ1/ANKRD1/COL11A1/ELN,37,0,,
GO:0032355,GO:0032355,GO:0032355,response to estradiol,18/891,128/17913,6.33E-05,0.002089388,0.001724264,PTGS2/GJB2/AGT/BMP7/PPARGC1A/UCN/BCL2L11/SFRP1/RBBP8/EZH2/TXNIP/COL1A1/WFDC1/CCNA2/POSTN/RGS9/OXTR/KIF18A,18,0,,
GO:0051208,GO:0051208,GO:0051208,sequestering of calcium ion,17/891,117/17913,6.61E-05,0.002169037,0.001789994,HAP1/MCOLN2/CEMIP/BDKRB1/MCOLN3/PLCG2/TMEM38A/CAPN3/TMEM38B/ANK2/JPH2/F2R/HTR2A/DRD1/SLC8A1/NTSR1/JPH3,17,0,,
GO:0060348,GO:0060348,GO:0060348,bone development,23/891,189/17913,6.75E-05,0.002199468,0.001815107,MMP13/BMP2/STC1/ACP5/BMP4/BMP6/TMEM38B/SMPD3/FGFR2/SPARC/SULF1/BMPR1B/COL1A1/FBN1/POC1A/XYLT1/TEK/FREM1/SCX/LRRC17/SFRP4/PAPPA2/COMP,23,0,,
GO:0031570,GO:0031570,GO:0031570,DNA integrity checkpoint,19/891,141/17913,7.24E-05,0.002343422,0.001933905,TREX1/TICRR/E2F1/CDT1/BLM/BRCA1/DTL/E2F7/CDC45/CDC6/BRIP1/CDK1/PLK1/E2F8/CCNB1/CLSPN/CDC25C/AURKA/GTSE1,19,0,,
GO:0031100,GO:0031100,GO:0031100,animal organ regeneration,13/891,75/17913,7.53E-05,0.002423203,0.001999744,PGF/HMOX1/NR4A3/PTPRU/CEBPB/UCP2/EZH2/NNMT/TYMS/GLI1/CDK1/CCNA2/AURKA,13,0,,
GO:0051382,GO:0051382,GO:0051382,kinetochore assembly,6/891,16/17913,7.76E-05,0.0024638,0.002033246,CENPH/CENPK/CENPN/CENPF/CENPE/CENPA,6,0,,
GO:0060572,GO:0060572,GO:0060572,morphogenesis of an epithelial bud,6/891,16/17913,7.76E-05,0.0024638,0.002033246,BMP7/BMP4/FGFR2/GLI2/SULF1/WNT2,6,0,,
GO:0010862,GO:0010862,GO:0010862,positive regulation of pathway-restricted SMAD protein phosphorylation,8/891,30/17913,7.99E-05,0.002521083,0.00208052,BMP2/BMP7/BMP4/BMP6/INHBA/GDF6/GDF10/TTK,8,0,,
GO:0035265,GO:0035265,GO:0035265,organ growth,22/891,179/17913,8.31E-05,0.002608294,0.00215249,MMP13/CYP19A1/STC1/AGT/MIR17HG/S1PR1/BCL2L11/TMEM38B/DLL1/SMPD3/FGFR2/PIM1/GATA6/WWC1/TENM4/POC1A/GLI1/WNT2/CDK1/CCNB1/SORBS2/COMP,22,0,,
GO:0006310,GO:0006310,GO:0006310,DNA recombination,27/891,244/17913,8.70E-05,0.002698694,0.002227093,TREX1/RBBP8/SFR1/FANCM/XRCC4/HMGB2/TIMELESS/TNFSF4/RAD54B/KPNA2/ATAD5/RAD51/IL7R/FEN1/XRCC2/BLM/BRCA1/AUNIP/PARPBP/PGBD5/BRCA2/EXO1/BRIP1/TRIP13/POLQ/RAD51AP1/ZNF365,27,0,,
GO:0061035,GO:0061035,GO:0061035,regulation of cartilage development,12/891,66/17913,8.75E-05,0.002698694,0.002227093,BMP2/PTHLH/CTSK/SCIN/BMP4/BMP6/MDK/SMPD3/GLI2/BMPR1B/GDF6/SCX,12,0,,
GO:0031960,GO:0031960,GO:0031960,response to corticosteroid,20/891,155/17913,8.76E-05,0.002698694,0.002227093,HTR1B/PTGS2/GJB2/STC1/ZFP36/BMP6/UCN/BCL2L11/MDK/IL1RN/PTPRU/GBA/GNRH1/EIF4EBP1/SPARC/FBXO32/TYMS/COL1A1/AQP1/SDC1,20,0,,
GO:0051235,GO:0051235,GO:0051235,maintenance of location,30/891,286/17913,9.68E-05,0.00296361,0.002445714,HAP1/NRROS/MCOLN2/CEMIP/BDKRB1/MCOLN3/PLCG2/SCIN/TMEM38A/CAPN3/PLIN2/TMEM38B/SLC17A7/ABCG1/TLN2/EZR/SYNE1/ANK2/JPH2/F2R/HTR2A/DRD1/SLC8A1/FBN1/ENPP1/SYNE2/MDFI/NTSR1/ASPM/JPH3,30,0,,
GO:0001701,GO:0001701,GO:0001701,in utero embryonic development,34/891,342/17913,9.95E-05,0.003029488,0.00250008,RSPO3/BMP2/BMP7/HAND2/APBA2/TMEM100/BCL2L11/JAG2/CEBPB/SOCS3/RBBP8/FGFR2/GATA6/SKIL/TET1/GLI2/XRCC2/ASF1B/GINS1/NCAPG2/E2F7/BRCA2/GINS4/STIL/MDFI/TPM1/WNT2/PLK4/CCNB2/E2F8/CCNB1/NEK2/LIF/SPINT2,34,0,,
GO:0045132,GO:0045132,GO:0045132,meiotic chromosome segregation,12/891,67/17913,0.000101824,0.003060787,0.002525909,SYCE1L/FMN2/FANCM/SMC2/SMC4/FANCD2/ESPL1/BRIP1/PLK1/TRIP13/NCAPH/TTK,12,0,,
GO:0030324,GO:0030324,GO:0030324,lung development,21/891,169/17913,0.000102114,0.003060787,0.002525909,CHI3L1/MIR17HG/BMP4/TMEM38B/CTSH/LAMA1/SMPD3/FGF1/TIMELESS/FGFR2/EIF4EBP1/NFIB/SPARC/GATA6/CELSR1/GLI2/FSTL3/ADAMTS2/GLI1/WNT2/LIF,21,0,,
GO:0060389,GO:0060389,GO:0060389,pathway-restricted SMAD protein phosphorylation,10/891,48/17913,0.000102759,0.003060787,0.002525909,BMP2/BMP7/BMP4/BMP6/INHBA/PMEPA1/GDF6/GDF10/LDLRAD4/TTK,10,0,,
GO:0007099,GO:0007099,GO:0007099,centriole replication,8/891,31/17913,0.00010297,0.003060787,0.002525909,CEP152/CENPJ/SASS6/CEP72/BRCA1/STIL/PLK4/WDR62,8,0,,
GO:0007127,GO:0007127,GO:0007127,meiosis I,14/891,88/17913,0.000106278,0.003122616,0.002576934,SYCE1L/FMN2/FANCM/CKS2/RAD54B/FBXO5/FANCD2/ESPL1/BRCA2/BRIP1/PLK1/MYBL1/TRIP13/AURKA,14,0,,
GO:0070167,GO:0070167,GO:0070167,regulation of biomineral tissue development,14/891,88/17913,0.000106278,0.003122616,0.002576934,BMP2/BMP7/S1PR1/BMP4/BMP6/CEBPB/FBXO5/BMPR1B/SLC8A1/ENPP1/OMD/COMP/WNT4/ASPN,14,0,,
GO:0000076,GO:0000076,GO:0000076,DNA replication checkpoint,5/891,11/17913,0.000108186,0.003124495,0.002578484,TICRR/CDT1/CDC45/CDC6/CLSPN,5,0,,
GO:0035404,GO:0035404,GO:0035404,histone-serine phosphorylation,5/891,11/17913,0.000108186,0.003124495,0.002578484,VRK1/DRD1/AURKB/CCNB1/AURKA,5,0,,
GO:2000105,GO:2000105,GO:2000105,positive regulation of DNA-dependent DNA replication,5/891,11/17913,0.000108186,0.003124495,0.002578484,CDC7/DBF4B/CDT1/E2F7/E2F8,5,0,,
GO:0051279,GO:0051279,GO:0051279,regulation of release of sequestered calcium ion into cytosol,13/891,78/17913,0.000114317,0.003282894,0.002709202,HAP1/CEMIP/BDKRB1/TMEM38A/CAPN3/TMEM38B/ANK2/JPH2/F2R/DRD1/SLC8A1/NTSR1/JPH3,13,0,,
GO:0048754,GO:0048754,GO:0048754,branching morphogenesis of an epithelial tube,19/891,146/17913,0.000116267,0.003316517,0.00273695,DLL4/BMP2/PGF/AGT/BMP7/TACSTD2/BMP4/MDK/CTSH/LAMA1/FGF1/TIMELESS/FGFR2/CELSR1/GLI2/MET/EGF/WNT2/WNT4,19,0,,
GO:0070371,GO:0070371,GO:0070371,ERK1 and ERK2 cascade,30/891,289/17913,0.000116793,0.003316517,0.00273695,CHI3L1/BMP2/MIR221/AGT/LGALS9/DUSP6/HAND2/BMP4/CTSH/GPNMB/DUSP4/FGFR2/EZR/ACKR3/FN1/F2R/HTR2A/EGF/TEK/NOX4/TIAM1/SEMA7A/IQGAP3/OXTR/FAM83D/LIF/MIR503/F2RL1/GPR183/CHRNA9,30,0,,
GO:0045137,GO:0045137,GO:0045137,development of primary sexual characteristics,25/891,223/17913,0.000127435,0.003598637,0.002969769,VGF/CYP19A1/NR0B1/ADAMTS1/BCL2L11/CBX2/SFRP1/TFAP2C/CEBPB/GNRH1/RRM1/HMGB2/MAMLD1/GATA6/FSTL3/BMPR1B/FANCA/BRCA2/INHBA/BRIP1/SCX/KIF18A/SDC1/ASPM/WNT4,25,0,,
GO:0051298,GO:0051298,GO:0051298,centrosome duplication,11/891,59/17913,0.000135296,0.003786018,0.003124405,CEP152/CENPJ/SASS6/CEP72/CCNF/BRCA1/POC1A/BRCA2/STIL/PLK4/WDR62,11,0,,
GO:0048839,GO:0048839,GO:0048839,inner ear development,22/891,185/17913,0.000135561,0.003786018,0.003124405,BMP2/GJB2/USH2A/MCOLN3/CDH23/MAFB/ATP6V1B1/BMP4/NR4A3/NTN1/JAG2/DLL1/SLC25A27/GABRB3/FGFR2/SPARC/CELSR1/GLI2/CCNA2/LGR5/COL11A1/CHRNA9,22,0,,
GO:0006302,GO:0006302,GO:0006302,double-strand break repair,24/891,211/17913,0.000138001,0.0038331,0.003163259,MIR221/SPIRE2/RBBP8/FMN2/SFR1/XRCC4/TIMELESS/RAD54B/RAD51/FEN1/XRCC2/BLM/BRCA1/AUNIP/PARPBP/BRCA2/BRIP1/CDCA5/FOXM1/TRIP13/POLQ/RAD51AP1/ZNF365/ESCO2,24,0,,
GO:0030323,GO:0030323,GO:0030323,respiratory tube development,21/891,173/17913,0.000142747,0.00394339,0.003254275,CHI3L1/MIR17HG/BMP4/TMEM38B/CTSH/LAMA1/SMPD3/FGF1/TIMELESS/FGFR2/EIF4EBP1/NFIB/SPARC/GATA6/CELSR1/GLI2/FSTL3/ADAMTS2/GLI1/WNT2/LIF,21,0,,
GO:0043583,GO:0043583,GO:0043583,ear development,24/891,212/17913,0.000148462,0.004073733,0.003361841,BMP2/GJB2/USH2A/MCOLN3/CDH23/MAFB/ATP6V1B1/BMP4/NR4A3/NTN1/BCL2L11/JAG2/DLL1/SLC25A27/GABRB3/FGFR2/SPARC/CELSR1/GLI2/SHROOM2/CCNA2/LGR5/COL11A1/CHRNA9,24,0,,
GO:0110110,GO:0110110,GO:0110110,positive regulation of animal organ morphogenesis,13/891,80/17913,0.000149068,0.004073733,0.003361841,BMP2/AGT/BMP7/HAND2/BMP4/MDK/FGF1/FGFR2/PIM1/SEMA3C/WNT2/LIF/WNT4,13,0,,
GO:2001251,GO:2001251,GO:2001251,negative regulation of chromosome organization,17/891,125/17913,0.000152335,0.004140741,0.003417139,UCN/FBXO5/TET1/CDT1/BRCA1/ESPL1/MAD2L1/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/TTK/TOP2A/NDC80,17,0,,
GO:0061982,GO:0061982,GO:0061982,meiosis I cell cycle process,14/891,91/17913,0.000153733,0.004156504,0.003430148,SYCE1L/FMN2/FANCM/CKS2/RAD54B/FBXO5/FANCD2/ESPL1/BRCA2/BRIP1/PLK1/MYBL1/TRIP13/AURKA,14,0,,
GO:0051785,GO:0051785,GO:0051785,positive regulation of nuclear division,11/891,60/17913,0.000158323,0.004254037,0.003510637,PLCB1/SMPD3/CDT1/ESPL1/EGF/CDCA5/NUSAP1/UBE2C/AURKA/DLGAP5/WNT4,11,0,,
GO:0009612,GO:0009612,GO:0009612,response to mechanical stimulus,23/891,200/17913,0.000160097,0.004254037,0.003510637,CHI3L1/PTGS2/AGT/BDKRB1/BMP6/UCN/MDK/ACTG1/DCN/PIEZO2/TXNIP/COL1A1/PSPH/AQP1/HTR2A/SLC8A1/ASNS/SCX/POSTN/CCNB1/ANKRD1/COL11A1/CHRNA9,23,0,,
GO:0060740,GO:0060740,GO:0060740,prostate gland epithelium morphogenesis,7/891,25/17913,0.000160688,0.004254037,0.003510637,BMP7/BMP4/SFRP1/FGFR2/GLI2/SULF1/ID4,7,0,,
GO:0097066,GO:0097066,GO:0097066,response to thyroid hormone,7/891,25/17913,0.000160688,0.004254037,0.003510637,PPARGC1A/LMO2/AKR1B1/CTSL/GBA/CTSH/CTSS,7,0,,
GO:0097553,GO:0097553,GO:0097553,calcium ion transmembrane import into cytosol,17/891,126/17913,0.000168099,0.004427194,0.003653534,HAP1/MCOLN2/CEMIP/BDKRB1/MCOLN3/PLCG2/TMEM38A/CAPN3/TMEM38B/ANK2/JPH2/F2R/HTR2A/DRD1/SLC8A1/NTSR1/JPH3,17,0,,
GO:0032613,GO:0032613,GO:0032613,interleukin-10 production,10/891,51/17913,0.00017537,0.004594886,0.003791921,MMP8/LGALS9/TLR2/DLL1/TRIB2/TNFSF4/PDCD1LG2/CD274/IL20RB/F2RL1,10,0,,
GO:0007077,GO:0007077,GO:0007077,mitotic nuclear envelope disassembly,5/891,12/17913,0.000177871,0.004636511,0.003826273,VRK1/CCNB2/CDK1/PLK1/CCNB1,5,0,,
GO:0001890,GO:0001890,GO:0001890,placenta development,19/891,151/17913,0.000182104,0.004722619,0.003897333,RSPO3/PTGS2/GJB2/STC1/BMP7/CEBPB/SOCS3/DCN/FGFR2/ADAM19/CCNF/SPP1/E2F7/MDFI/WNT2/PLK4/E2F8/LIF/SPINT2,19,0,,
GO:0033044,GO:0033044,GO:0033044,regulation of chromosome organization,31/891,311/17913,0.000189339,0.004885332,0.004031612,PPARGC1A/UCN/RMI2/FBXO5/TET1/NEK7/FEN1/CDT1/BRCA1/ESPL1/MAD2L1/CDC6/CDCA5/TACC3/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/CENPE/NEK2/BUB1/TTK/MKI67/LIF/TOP2A/NDC80/BUB1B/DLGAP5,31,0,,
GO:0048644,GO:0048644,GO:0048644,muscle organ morphogenesis,13/891,82/17913,0.000192544,0.004942926,0.004079141,DLL4/BMP2/S1PR1/FGFR2/MYLK/DSP/TPM1/ACTC1/WNT2/NRG1/LIF/ANKRD1/COL11A1,13,0,,
GO:0022612,GO:0022612,GO:0022612,gland morphogenesis,16/891,116/17913,0.000199907,0.005106179,0.004213865,BMP7/BMP4/NTN1/MDK/SFRP1/LAMA1/CEBPB/FGFR2/NFIB/GLI2/SULF1/SEMA3C/ID4/GLI1/TGM2/WNT4,16,0,,
GO:0072073,GO:0072073,GO:0072073,kidney epithelium development,18/891,140/17913,0.000203168,0.005157573,0.004256278,BMP2/KLF15/PGF/AGT/BMP7/TACSTD2/BMP4/DLL1/SFRP1/KIF26B/FGF1/FGFR2/PODXL/POU3F3/CRLF1/SDC1/LIF/WNT4,18,0,,
GO:0045995,GO:0045995,GO:0045995,regulation of embryonic development,17/891,128/17913,0.000203949,0.005157573,0.004256278,MIR221/BMP7/BMP4/IL1RN/DLL1/SFRP1/PLCB1/LAMA1/CELSR1/SULF1/TENM4/RACGAP1/COL5A1/WNT2/CDK1/SCX/WNT4,17,0,,
GO:0060706,GO:0060706,GO:0060706,cell differentiation involved in embryonic placenta development,7/891,26/17913,0.000210512,0.0052972,0.004371505,SOCS3/E2F7/MDFI/PLK4/E2F8/LIF/SPINT2,7,0,,
GO:0008406,GO:0008406,GO:0008406,gonad development,24/891,217/17913,0.00021207,0.005310107,0.004382157,VGF/CYP19A1/NR0B1/ADAMTS1/BCL2L11/SFRP1/TFAP2C/CEBPB/GNRH1/RRM1/HMGB2/MAMLD1/GATA6/FSTL3/BMPR1B/FANCA/BRCA2/INHBA/BRIP1/SCX/KIF18A/SDC1/ASPM/WNT4,24,0,,
GO:0001704,GO:0001704,GO:0001704,formation of primary germ layer,16/891,117/17913,0.000221098,0.005509025,0.004546313,MMP8/BMP7/BMP4/NR4A3/ETS2/FGFR2/GATA6/FN1/COL12A1/INHBA/COL5A1/SCX/COL8A1/EYA2/MMP9/COL11A1,16,0,,
GO:0072401,GO:0072401,GO:0072401,signal transduction involved in DNA integrity checkpoint,12/891,73/17913,0.000237447,0.005858943,0.004835083,TREX1/E2F1/BRCA1/DTL/E2F7/CDK1/PLK1/E2F8/CCNB1/CDC25C/AURKA/GTSE1,12,0,,
GO:0072422,GO:0072422,GO:0072422,signal transduction involved in DNA damage checkpoint,12/891,73/17913,0.000237447,0.005858943,0.004835083,TREX1/E2F1/BRCA1/DTL/E2F7/CDK1/PLK1/E2F8/CCNB1/CDC25C/AURKA/GTSE1,12,0,,
GO:0055008,GO:0055008,GO:0055008,cardiac muscle tissue morphogenesis,11/891,63/17913,0.000248329,0.006097848,0.005032238,DLL4/BMP2/S1PR1/FGFR2/DSP/TPM1/ACTC1/WNT2/NRG1/ANKRD1/COL11A1,11,0,,
GO:0042692,GO:0042692,GO:0042692,muscle cell differentiation,34/891,359/17913,0.000251129,0.006136972,0.005064525,KLHL41/BMP2/MIR221/AGT/BMP4/CAPN3/DLL1/ACTG1/BHLHE41/FGFR2/EZH2/CTH/GATA6/CDH2/SYNE1/ANK2/KLF5/SLC8A1/TPM1/ACTC1/MYEF2/ADAM12/NOX4/NRG1/CDK1/CCNB1/OLFM2/SORBS2/SDC1/MYOZ1/KCNH1/ANKRD1/COMP/WNT4,34,0,,
GO:0071312,GO:0071312,GO:0071312,cellular response to alkaloid,8/891,35/17913,0.000257446,0.00623142,0.005142468,HTR1B/PPARGC1A/TMEM38A/TMEM38B/RAD51/BLM/SLC8A1/CCNA2,8,0,,
GO:0098534,GO:0098534,GO:0098534,centriole assembly,8/891,35/17913,0.000257446,0.00623142,0.005142468,CEP152/CENPJ/SASS6/CEP72/BRCA1/STIL/PLK4/WDR62,8,0,,
GO:0030850,GO:0030850,GO:0030850,prostate gland development,9/891,44/17913,0.000263277,0.006342359,0.00523402,CYP19A1/BMP7/BMP4/SFRP1/FGFR2/GLI2/SULF1/ID4/GLI1,9,0,,
GO:0051928,GO:0051928,GO:0051928,positive regulation of calcium ion transport,16/891,119/17913,0.000269385,0.006402778,0.005283881,HAP1/STC1/CEMIP/BDKRB1/CACNB2/PLCG2/CAPN3/UCN/ANK2/JPH2/MYLK/F2R/DRD1/ATP1B1/NTSR1/FGF14,16,0,,
GO:0072395,GO:0072395,GO:0072395,signal transduction involved in cell cycle checkpoint,12/891,74/17913,0.000270786,0.006402778,0.005283881,TREX1/E2F1/BRCA1/DTL/E2F7/CDK1/PLK1/E2F8/CCNB1/CDC25C/AURKA/GTSE1,12,0,,
GO:0002063,GO:0002063,GO:0002063,chondrocyte development,7/891,27/17913,0.000272083,0.006402778,0.005283881,PTHLH/SMPD3/SULF1/BMPR1B/POC1A/COL11A1/COMP,7,0,,
GO:0060512,GO:0060512,GO:0060512,prostate gland morphogenesis,7/891,27/17913,0.000272083,0.006402778,0.005283881,BMP7/BMP4/SFRP1/FGFR2/GLI2/SULF1/ID4,7,0,,
GO:1902751,GO:1902751,GO:1902751,positive regulation of cell cycle G2/M phase transition,7/891,27/17913,0.000272083,0.006402778,0.005283881,CDC7/ATAD5/FBXO5/DBF4B/DTL/CDK1/CCNB1,7,0,,
GO:0042475,GO:0042475,GO:0042475,odontogenesis of dentin-containing tooth,13/891,85/17913,0.000277952,0.006510742,0.005372978,BMP2/BMP7/FAM20A/HAND2/BMP4/TNFRSF11B/BCL2L11/JAG2/SMPD3/ITGA6/GLI2/SERPINE1/KLK4,13,0,,
GO:0046605,GO:0046605,GO:0046605,regulation of centrosome cycle,10/891,54/17913,0.00028698,0.006667764,0.00550256,CEP85/CENPJ/CCNF/BRCA1/POC1A/STIL/PLK4/KIF11/AURKA/NEK2,10,0,,
GO:1902806,GO:1902806,GO:1902806,regulation of cell cycle G1/S phase transition,22/891,195/17913,0.000289394,0.006667764,0.00550256,MIR221/ADAMTS1/PLCB1/GPNMB/JADE1/EZH2/E2F1/MTBP/E2F7/SUSD2/GLI1/CDC6/CDK1/E2F8/CCNB1/CDC25C/AURKA/FAM83D/GTSE1/KIF14/DACT1/MIR503,22,0,,
